Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster SCHWEIZ Substanz;20.09.2024;-0,0033413959;-3.783,36;0,1019051154;102.652,64;0;EUR
Muster SCHWEIZ Substanz;21.09.2024;0,0000179746;20,28;0,1019252517;102.672,93;0;EUR
Muster SCHWEIZ Substanz;22.09.2024;0,0000179743;20,28;0,1019453881;102.693,21;0;EUR
Muster SCHWEIZ Substanz;23.09.2024;0,0033197965;3.746,48;0,1056608713;106.439,69;0;EUR
Muster SCHWEIZ Substanz;24.09.2024;0,0021497088;2.434,06;0,1080733369;108.873,74;0;EUR
Muster SCHWEIZ Substanz;25.09.2024;0,0002356509;267,39;0,1083349912;109.141,13;0;EUR
Muster SCHWEIZ Substanz;26.09.2024;0,0038702183;4.392,60;0,1126912305;113.533,73;0;EUR
Muster SCHWEIZ Substanz;27.09.2024;0,0013354367;1.521,55;0,1141975426;115.055,28;0;EUR
Muster SCHWEIZ Substanz;28.09.2024;0,0000177788;20,28;0,1142176751;115.075,56;0;EUR
Muster SCHWEIZ Substanz;29.09.2024;0,0000177785;20,28;0,1142378075;115.095,85;0;EUR
Muster SCHWEIZ Substanz;30.09.2024;-0,0021214531;-2.420,43;0,1118315747;112.675,42;0;EUR
Muster SCHWEIZ Substanz;01.10.2024;0,0034155163;3.888,59;0,1156870749;116.564,01;0;EUR
Muster SCHWEIZ Substanz;02.10.2024;-0,0012385318;-1.414,89;0,1142789195;115.149,12;0;EUR
Muster SCHWEIZ Substanz;03.10.2024;-0,0021715931;-2.477,75;0,1118160896;112.671,37;0;EUR
Muster SCHWEIZ Substanz;04.10.2024;0,0006736410;766,94;0,1125733920;113.438,32;0;EUR
Muster SCHWEIZ Substanz;05.10.2024;0,0000178821;20,37;0,1125936093;113.458,69;0;EUR
Muster SCHWEIZ Substanz;06.10.2024;0,0000178818;20,37;0,1126138265;113.479,06;0;EUR
Muster SCHWEIZ Substanz;07.10.2024;-0,0015557635;-1.772,50;0,1108510963;111.706,56;0;EUR
Muster SCHWEIZ Substanz;08.10.2024;-0,0032659106;-3.715,10;0,1071608395;107.991,46;0;EUR
Muster SCHWEIZ Substanz;09.10.2024;0,0026763505;3.034,51;0,1101683145;111.025,97;0;EUR
Muster SCHWEIZ Substanz;10.10.2024;0,0005289065;601,29;0,1107612609;111.627,26;0;EUR
Muster SCHWEIZ Substanz;11.10.2024;0,0030057444;3.418,91;0,1141498504;115.046,18;0;EUR
Muster SCHWEIZ Substanz;12.10.2024;0,0000178719;20,39;0,1141700811;115.066,57;0;EUR
Muster SCHWEIZ Substanz;13.10.2024;0,0000178715;20,39;0,1141903119;115.086,96;0;EUR
Muster SCHWEIZ Substanz;14.10.2024;0,0016622487;1.896,49;0,1160681790;116.983,45;0;EUR
Muster SCHWEIZ Substanz;15.10.2024;-0,0037239028;-4.255,73;0,1118420460;112.727,71;0;EUR
Muster SCHWEIZ Substanz;16.10.2024;-0,0012434301;-1.415,72;0,1104338144;111.311,99;0;EUR
Muster SCHWEIZ Substanz;17.10.2024;0,0026621733;3.027,28;0,1134334870;114.339,27;0;EUR
Muster SCHWEIZ Substanz;18.10.2024;0,0022953697;2.617,12;0,1160260795;116.956,38;0;EUR
Muster SCHWEIZ Substanz;19.10.2024;0,0000178700;20,42;0,1160463387;116.976,80;0;EUR
Muster SCHWEIZ Substanz;20.10.2024;0,0000178696;20,42;0,1160665978;116.997,23;0;EUR
Muster SCHWEIZ Substanz;21.10.2024;-0,0004932334;-563,68;0,1155036407;116.433,54;0;EUR
Muster SCHWEIZ Substanz;22.10.2024;0,0004706796;537,64;0,1160332256;116.971,19;0;EUR
Muster SCHWEIZ Substanz;23.10.2024;-0,0004807259;-549,38;0,1154845248;116.421,81;0;EUR
Muster SCHWEIZ Substanz;24.10.2024;0,0011377946;1.299,65;0,1167699539;117.721,46;0;EUR
Muster SCHWEIZ Substanz;25.10.2024;0,0014250409;1.629,61;0,1183825969;119.351,07;0;EUR
Muster SCHWEIZ Substanz;26.10.2024;0,0000178615;20,45;0,1184028856;119.371,53;0;EUR
Muster SCHWEIZ Substanz;27.10.2024;0,0000178612;20,45;0,1184231743;119.391,98;0;EUR
Muster SCHWEIZ Substanz;28.10.2024;-0,0015086931;-1.727,79;0,1167056738;117.664,19;0;EUR
Muster SCHWEIZ Substanz;29.10.2024;-0,0003023341;-345,72;0,1163590681;117.318,47;0;EUR
Muster SCHWEIZ Substanz;30.10.2024;-0,0036820218;-4.209,11;0,1121808252;113.109,36;0;EUR
Muster SCHWEIZ Substanz;31.10.2024;-0,0075637434;-8.614,66;0,1036336075;104.494,70;0;EUR
Muster SCHWEIZ Substanz;01.11.2024;0,0027420325;3.099,39;0,1067041007;107.594,10;0;EUR
Muster SCHWEIZ Substanz;02.11.2024;0,0000180305;20,44;0,1067243679;107.614,53;0;EUR
Muster SCHWEIZ Substanz;03.11.2024;0,0000180302;20,44;0,1067446351;107.634,97;0;EUR
Muster SCHWEIZ Substanz;04.11.2024;-0,0015908348;-1.803,16;0,1049530990;105.831,81;0;EUR
Muster SCHWEIZ Substanz;05.11.2024;-0,0009778060;-1.106,55;0,1038524927;104.725,26;0;EUR
Muster SCHWEIZ Substanz;06.11.2024;0,0027088902;3.062,56;0,1068861976;107.787,82;0;EUR
Muster SCHWEIZ Substanz;07.11.2024;0,0012476884;1.414,40;0,1082854113;109.202,22;0;EUR
Muster SCHWEIZ Substanz;08.11.2024;0,0022090463;2.507,34;0,1107682802;111.709,57;0;EUR
Muster SCHWEIZ Substanz;09.11.2024;0,0000180131;20,49;0,1107885982;111.730,06;0;EUR
Muster SCHWEIZ Substanz;10.11.2024;0,0000180128;20,49;0,1108089162;111.750,55;0;EUR
Muster SCHWEIZ Substanz;11.11.2024;0,0012843239;1.461,02;0,1122541724;113.211,57;0;EUR
Muster SCHWEIZ Substanz;12.11.2024;-0,0032644320;-3.718,33;0,1085639540;109.493,24;0;EUR
Muster SCHWEIZ Substanz;13.11.2024;0,0001835633;208,40;0,1087672630;109.701,64;0;EUR
Muster SCHWEIZ Substanz;14.11.2024;0,0010664396;1.210,98;0,1099645760;110.912,62;0;EUR
Muster SCHWEIZ Substanz;15.11.2024;-0,0026455538;-3.007,32;0,1069797135;107.905,30;0;EUR
Muster SCHWEIZ Substanz;16.11.2024;0,0000181491;20,58;0,1070001133;107.925,88;0;EUR
Muster SCHWEIZ Substanz;17.11.2024;0,0000181487;20,58;0,1070205130;107.946,46;0;EUR
Muster SCHWEIZ Substanz;18.11.2024;0,0010718967;1.215,29;0,1082221081;109.161,75;0;EUR
Muster SCHWEIZ Substanz;19.11.2024;0,0007226820;820,24;0,1090320006;109.981,99;0;EUR
Muster SCHWEIZ Substanz;20.11.2024;0,0025766874;2.926,64;0,1119299975;112.908,63;0;EUR
Muster SCHWEIZ Substanz;21.11.2024;0,0039981360;4.552,84;0,1164398920;117.461,47;0;EUR
Muster SCHWEIZ Substanz;22.11.2024;0,0076243324;8.716,85;0,1250772019;126.178,32;0;EUR
Muster SCHWEIZ Substanz;23.11.2024;0,0000179156;20,64;0,1250976608;126.198,96;0;EUR
Muster SCHWEIZ Substanz;24.11.2024;0,0000179153;20,64;0,1251181197;126.219,60;0;EUR
Muster SCHWEIZ Substanz;25.11.2024;-0,0023928888;-2.756,73;0,1223818077;123.462,87;0;EUR
Muster SCHWEIZ Substanz;26.11.2024;-0,0010157865;-1.167,44;0,1212210016;122.295,43;0;EUR
Muster SCHWEIZ Substanz;27.11.2024;-0,0018065733;-2.074,18;0,1191615311;120.221,25;0;EUR
Muster SCHWEIZ Substanz;28.11.2024;0,0027597240;3.162,79;0,1222928475;123.384,04;0;EUR
Muster SCHWEIZ Substanz;29.11.2024;0,0027890083;3.205,17;0,1254659989;126.589,22;0;EUR
Muster SCHWEIZ Substanz;30.11.2024;0,0000178399;20,56;0,1254863756;126.609,78;0;EUR
Muster SCHWEIZ Substanz;01.12.2024;0,0000178396;20,56;0,1255067522;126.630,33;0;EUR
Muster SCHWEIZ Substanz;02.12.2024;0,0046891937;5.404,12;0,1308591017;132.034,46;0;EUR
Muster SCHWEIZ Substanz;03.12.2024;-0,0008632362;-999,51;0,1298647083;131.034,94;0;EUR
Muster SCHWEIZ Substanz;04.12.2024;0,0004375108;506,14;0,1303625504;131.541,08;0;EUR
