Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster FFPB Pro;22.02.2024;0,0232030366;28.828,46;0,1665306567;170.613,01;0,017019820;0,03945000
Muster FFPB Pro;23.02.2024;0,0021740502;2.763,81;0,1691285717;173.376,82;0,001901116;0,03933000
Muster FFPB Pro;24.02.2024;0,0000009370;1,19;0,1691297362;173.378,01;0;0,03933000
Muster FFPB Pro;25.02.2024;0,0000009370;1,19;0,1691309006;173.379,21;0;0,03933000
Muster FFPB Pro;26.02.2024;-0,0008909792;-1.135,14;0,1679261373;172.244,07;-0,003444906;0,03952000
Muster FFPB Pro;27.02.2024;-0,0003040777;-387,06;0,1674531910;171.857,00;0,003295555;0,03952000
Muster FFPB Pro;28.02.2024;0,0003620169;460,67;0,1678078071;172.317,68;-0,000906901;0,03942000
Muster FFPB Pro;29.02.2024;0,0062373129;7.939,95;0,1754429875;180.257,63;0,002275890;0,03937000
Muster FFPB Pro;01.03.2024;0,0080803281;10.350,23;0,1854158995;190.607,86;0,005156566;0,03938000
Muster FFPB Pro;02.03.2024;0,0000009245;1,19;0,1854170607;190.609,05;0;0,03938000
Muster FFPB Pro;03.03.2024;0,0000009245;1,19;0,1854182219;190.610,24;0;0,03938000
Muster FFPB Pro;04.03.2024;-0,0003330668;-430,08;0,1849008546;190.180,16;0,000307424;0,03932000
Muster FFPB Pro;05.03.2024;-0,0068899534;-8.893,82;0,1761610663;181.286,34;-0,006098974;0,03926000
Muster FFPB Pro;06.03.2024;0,0037176275;4.765,79;0,1806983477;186.052,14;0,003637113;0,03942000
Muster FFPB Pro;07.03.2024;0,0071980901;9.261,86;0,1895968063;195.314,00;0,010283203;0,03929000
Muster FFPB Pro;08.03.2024;-0,0084153968;-10.906,13;0,1789198827;184.407,87;-0,004315211;0,03940000
Muster FFPB Pro;09.03.2024;0,0000009356;1,20;0,1789210493;184.409,08;0;0,03940000
Muster FFPB Pro;10.03.2024;0,0000009356;1,20;0,1789222158;184.410,28;0;0,03940000
Muster FFPB Pro;11.03.2024;-0,0010917600;-1.402,99;0,1774730184;183.007,29;-0,003537121;0,03928000
Muster FFPB Pro;12.03.2024;0,0128129499;16.447,55;0,1933287962;199.454,84;0,010289027;0,03929000
Muster FFPB Pro;13.03.2024;0,0004891105;635,90;0,1938519296;200.090,74;0,000441198;0,03940000
Muster FFPB Pro;14.03.2024;0,0034908458;4.540,72;0,1981571680;204.631,46;-0,000034934;0,03928000
Muster FFPB Pro;15.03.2024;-0,0040309544;-5.261,57;0,1929719696;199.369,89;-0,003566173;0,03928000
Muster FFPB Pro;16.03.2024;0,0000010893;1,42;0,1929733403;199.371,31;0;0,03928000
Muster FFPB Pro;17.03.2024;0,0000010893;1,42;0,1929747110;199.372,72;0;0,03928000
Muster FFPB Pro;18.03.2024;0,0040603810;5.278,62;0,1979928381;204.651,35;0,002420845;0,03928000
Muster FFPB Pro;19.03.2024;0,0022009933;2.872,98;0,2006813368;207.524,33;0,005630016;0,03935000
Muster FFPB Pro;20.03.2024;0,0066841507;8.744,09;0,2090436606;216.268,42;0,002715889;0,03922000
Muster FFPB Pro;21.03.2024;0,0070751089;9.317,40;0,2179537688;225.585,82;0,007819467;0,03926000
Muster FFPB Pro;22.03.2024;0,0027523832;3.650,33;0,2213844361;229.236,16;-0,000894905;0,03903000
Muster FFPB Pro;23.03.2024;0,0000015292;2,03;0,2213864001;229.238,19;0;0,03903000
Muster FFPB Pro;24.03.2024;0,0000015291;2,03;0,2213883640;229.240,23;0;0,03903000
Muster FFPB Pro;25.03.2024;-0,0016681611;-2.218,49;0,2191520030;227.021,74;-0,000834031;0,03886000
Muster FFPB Pro;26.03.2024;-0,0015844054;-2.103,58;0,2170296822;224.918,15;0,001540192;0,03902000
Muster FFPB Pro;27.03.2024;-0,0032642990;-4.327,08;0,2127657513;220.591,08;0,005507643;0,03908000
Muster FFPB Pro;28.03.2024;0,0026792772;3.539,99;0,2160914058;224.131,07;0,001416406;0,03892000
Muster FFPB Pro;29.03.2024;-0,0002048470;-271,38;0,2157423527;223.859,69;0,000142568;0,03892000
Muster FFPB Pro;30.03.2024;0,0000015672;2,08;0,2157443532;223.861,77;0;0,03892000
Muster FFPB Pro;31.03.2024;0,0000015672;2,08;0,2157463537;223.863,84;0;0,03892000
Muster FFPB Pro;01.04.2024;0,0024187282;3.203,66;0,2187464229;227.067,50;0,000686581;0,03892000
Muster FFPB Pro;02.04.2024;-0,0103513353;-13.743,74;0,2054253385;213.323,76;-0,008159345;0,03883000
Muster FFPB Pro;03.04.2024;-0,0019792547;-2.600,71;0,2028420185;210.723,06;0,001017082;0,03857000
Muster FFPB Pro;04.04.2024;-0,0099587953;-13.059,78;0,1901976654;197.663,27;-0,005298696;0,03891000
Muster FFPB Pro;05.04.2024;0,0060276425;7.825,82;0,1976530468;205.489,09;-0,000819567;0,03885000
Muster FFPB Pro;06.04.2024;0,0000016007;2,09;0,1976550578;205.491,18;0;0,03885000
Muster FFPB Pro;07.04.2024;0,0000016007;2,09;0,1976570688;205.493,27;0;0,03885000
Muster FFPB Pro;08.04.2024;-0,0009919903;-1.295,69;0,1963373968;204.197,58;0,002453213;0,03902000
Muster FFPB Pro;09.04.2024;-0,0076541901;-9.987,62;0,1866653645;194.209,96;-0,005105214;0,03916000
Muster FFPB Pro;10.04.2024;0,0033100788;4.286,12;0,1907155265;198.496,08;0,001049407;0,03912000
Muster FFPB Pro;11.04.2024;0,0029994166;3.896,71;0,1943896142;202.392,79;0,000568105;0,03906000
Muster FFPB Pro;12.04.2024;-0,0090560249;-11.800,47;0,1829908293;190.592,32;-0,003505904;0,03923000
Muster FFPB Pro;13.04.2024;0,0000016192;2,09;0,1829928366;190.594,41;0;0,03923000
Muster FFPB Pro;14.04.2024;0,0000016191;2,09;0,1829948440;190.596,50;0;0,03923000
Muster FFPB Pro;15.04.2024;-0,0078696928;-10.161,78;0,1731776712;180.434,72;-0,001826279;0,03888000
Muster FFPB Pro;16.04.2024;0,0001615855;207,01;0,1733163920;180.641,73;-0,010041258;0,03904000
Muster FFPB Pro;17.04.2024;-0,0042810108;-5.485,26;0,1679961766;175.156,46;-0,002953532;0,03895000
Muster FFPB Pro;18.04.2024;-0,0034434480;-4.393,20;0,1637273289;170.763,26;0,001271424;0,03897000
Muster FFPB Pro;19.04.2024;-0,0093256625;-11.856,85;0,1523082643;158.906,41;-0,006247103;0,03892000
Muster FFPB Pro;20.04.2024;0,0000023696;2,98;0,1523111251;158.909,39;0;0,03892000
Muster FFPB Pro;21.04.2024;0,0000023696;2,98;0,1523139858;158.912,38;0;0,03892000
Muster FFPB Pro;22.04.2024;0,0070815326;8.919,69;0,1608103952;167.832,07;0,007297438;0,03891000
Muster FFPB Pro;23.04.2024;0,0100874528;12.795,84;0,1730146516;180.627,91;0,010922547;0,03882000
