Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ETF Muster 100/100 offensiv;09.07.2021;0,0043433039;585,87;0,3482762240;35.204,03;0,004326761;EUR
ETF Muster 100/100 offensiv;10.07.2021;0;0;0,3482762240;35.204,03;0;EUR
ETF Muster 100/100 offensiv;11.07.2021;0;0;0,3482762240;35.204,03;0;EUR
ETF Muster 100/100 offensiv;12.07.2021;0,0043986516;595,91;0,3541735258;35.799,93;0,002462486;EUR
ETF Muster 100/100 offensiv;13.07.2021;0,0019219157;261,52;0,3567626974;36.061,45;0,000386943;EUR
ETF Muster 100/100 offensiv;14.07.2021;-0,0030297985;-413,06;0,3526781379;35.648,39;0,000374649;EUR
ETF Muster 100/100 offensiv;15.07.2021;-0,0037265354;-506,51;0,3476690159;35.141,88;-0,002247954;EUR
ETF Muster 100/100 offensiv;16.07.2021;-0,0032052158;-434,03;0,3433769166;34.707,85;-0,002444950;EUR
ETF Muster 100/100 offensiv;17.07.2021;0;0;0,3433769166;34.707,85;0;EUR
ETF Muster 100/100 offensiv;18.07.2021;0;0;0,3433769166;34.707,85;0;EUR
ETF Muster 100/100 offensiv;19.07.2021;-0,0082755983;-1.117,03;0,3323275349;33.590,82;-0,007425853;EUR
ETF Muster 100/100 offensiv;20.07.2021;0,0045241839;605,62;0,3383209737;34.196,44;0,007353376;EUR
ETF Muster 100/100 offensiv;21.07.2021;0,0071534296;961,90;0,3478394159;35.158,34;0,003778699;EUR
ETF Muster 100/100 offensiv;22.07.2021;0,0036567183;495,23;0,3527408613;35.653,57;0,001798789;EUR
ETF Muster 100/100 offensiv;23.07.2021;0,0044920044;610,57;0,3587835554;36.264,14;0,005580861;EUR
ETF Muster 100/100 offensiv;24.07.2021;0;0;0,3587835554;36.264,14;0;EUR
ETF Muster 100/100 offensiv;25.07.2021;0;0;0,3587835554;36.264,14;0;EUR
ETF Muster 100/100 offensiv;26.07.2021;-0,0018078952;-246,84;0,3563433224;36.017,30;-0,000629923;EUR
ETF Muster 100/100 offensiv;27.07.2021;-0,0052122856;-710,37;0,3493169953;35.306,93;-0,002202817;EUR
ETF Muster 100/100 offensiv;28.07.2021;0,0029210930;396,04;0,3532371674;35.702,96;0,001385068;EUR
ETF Muster 100/100 offensiv;29.07.2021;0,0032078243;436,18;0,3575545659;36.139,15;-0,000240581;EUR
ETF Muster 100/100 offensiv;30.07.2021;-0,0012472181;-170,13;0,3558732044;35.969,01;-0,002075448;EUR
