Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster SCHWEIZ Aktien;11.10.2024;0,0064609365;7.833,35;0,2351506112;234.656,08;0;0,03179000
Muster SCHWEIZ Aktien;12.10.2024;0;0;0,2351506112;234.656,08;0;0,03179000
Muster SCHWEIZ Aktien;13.10.2024;0;0;0,2351506112;234.656,08;0;0,03179000
Muster SCHWEIZ Aktien;14.10.2024;0,0066853857;8.157,85;0,2433311478;242.813,93;0;0,03205000
Muster SCHWEIZ Aktien;15.10.2024;-0,0102178618;-12.551,71;0,2307578884;230.262,22;0;0,03215000
Muster SCHWEIZ Aktien;16.10.2024;0,0001955688;237,78;0,2310013618;230.500,00;0;0,03208000
Muster SCHWEIZ Aktien;17.10.2024;0,0075520358;9.183,99;0,2402106967;239.683,99;0;0,03219000
Muster SCHWEIZ Aktien;18.10.2024;0,0023577939;2.888,96;0,2431114108;242.572,95;0;0,03201000
Muster SCHWEIZ Aktien;19.10.2024;0;0;0,2431114108;242.572,95;0;0,03201000
Muster SCHWEIZ Aktien;20.10.2024;0;0;0,2431114108;242.572,95;0;0,03201000
Muster SCHWEIZ Aktien;21.10.2024;-0,0023876995;-2.932,50;0,2401777302;239.640,45;0;0,03138000
Muster SCHWEIZ Aktien;22.10.2024;0,0018428881;2.257,97;0,2424461210;241.898,43;0;0,03098000
Muster SCHWEIZ Aktien;23.10.2024;-0,0052236536;-6.412,00;0,2360247977;235.486,42;0;0,03086000
Muster SCHWEIZ Aktien;24.10.2024;0,0010336569;1.262,18;0,2372950676;236.748,60;0;0,03072000
Muster SCHWEIZ Aktien;25.10.2024;0,0050130042;6.127,61;0,2434421463;242.876,22;0;0,03059000
Muster SCHWEIZ Aktien;26.10.2024;0;0;0,2434421463;242.876,22;0;0,03059000
Muster SCHWEIZ Aktien;27.10.2024;0;0;0,2434421463;242.876,22;0;0,03059000
Muster SCHWEIZ Aktien;28.10.2024;-0,0018189231;-2.234,49;0,2412076976;240.641,72;0;0,03052000
Muster SCHWEIZ Aktien;29.10.2024;-0,0047117486;-5.777,72;0,2354214975;234.864,00;0;0,03056000
