Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster FFPB Pro Dividende;03.12.2024;0,0031179001;3.148,97;0,0131125611;13.112,56;0,001686147;0,02879000
Muster FFPB Pro Dividende;04.12.2024;-0,0025208563;-2.553,91;0,0105586499;10.558,65;0,000098832;0,02877000
Muster FFPB Pro Dividende;05.12.2024;0,0060182129;6.081,76;0,0166404070;16.640,41;0,005460441;0,02881000
Muster FFPB Pro Dividende;06.12.2024;-0,0011472534;-1.166,34;0,0154740629;15.474,06;-0,000118548;0,02868000
Muster FFPB Pro Dividende;07.12.2024;0,0000009748;0,99;0,0154750527;15.475,05;0;0,02868000
Muster FFPB Pro Dividende;08.12.2024;0,0000009748;0,99;0,0154760426;15.476,04;0;0,02868000
Muster FFPB Pro Dividende;09.12.2024;-0,0062795135;-6.376,70;0,0090993470;9.099,35;0,001097444;0,02862000
Muster FFPB Pro Dividende;10.12.2024;-0,0027870162;-2.812,38;0,0062869709;6.286,97;-0,002870630;0,02872000
Muster FFPB Pro Dividende;11.12.2024;-0,0011097693;-1.116,75;0,0051702245;5.170,22;0,000372253;0,02888000
Muster FFPB Pro Dividende;12.12.2024;0,0000273082;27,45;0,0051976739;5.197,67;-0,002828912;0,02886000
Muster FFPB Pro Dividende;13.12.2024;0,0015355931;1.543,57;0,0067412485;6.741,25;-0,001490200;0,02843000
Muster FFPB Pro Dividende;14.12.2024;0,0000009832;0,99;0,0067422384;6.742,24;0;0,02843000
Muster FFPB Pro Dividende;15.12.2024;0,0000009832;0,99;0,0067432282;6.743,23;0;0,02843000
Muster FFPB Pro Dividende;16.12.2024;-0,0041151767;-4.142,93;0,0026003019;2.600,30;-0,007082336;0,02863000
Muster FFPB Pro Dividende;17.12.2024;-0,0028579504;-2.865,38;-0,0002650800;-265,08;-0,005308401;0,02865000
Muster FFPB Pro Dividende;18.12.2024;-0,0049817214;-4.980,40;-0,0052454808;-5.245,48;0,000060647;0,02852000
Muster FFPB Pro Dividende;19.12.2024;-0,0072767296;-7.238,56;-0,0124840405;-12.484,04;-0,008904269;0,02839000
Muster FFPB Pro Dividende;20.12.2024;-0,0037625456;-3.715,57;-0,0161996143;-16.199,61;-0,003093738;0,02772000
Muster FFPB Pro Dividende;21.12.2024;0,0000017110;1,68;-0,0161979310;-16.197,93;0;0,02772000
Muster FFPB Pro Dividende;22.12.2024;0,0000017110;1,68;-0,0161962478;-16.196,25;0;0,02772000
Muster FFPB Pro Dividende;23.12.2024;0,0041387899;4.071,76;-0,0121244907;-12.124,49;0,002761757;0,02731000
Muster FFPB Pro Dividende;24.12.2024;0,0029981144;2.961,76;-0,0091627269;-9.162,73;0,002910835;0,02715000
Muster FFPB Pro Dividende;25.12.2024;-0,0002679145;-265,46;-0,0094281866;-9.428,19;0;0,02715000
Muster FFPB Pro Dividende;26.12.2024;-0,0006464718;-640,38;-0,0100685633;-10.068,56;-0,000405723;0,02715000
Muster FFPB Pro Dividende;27.12.2024;0,0020089883;1.988,76;-0,0080798026;-8.079,80;0,006593330;0,02683000
Muster FFPB Pro Dividende;28.12.2024;0,0000016970;1,68;-0,0080781193;-8.078,12;0;0,02683000
Muster FFPB Pro Dividende;29.12.2024;0,0000016970;1,68;-0,0080764361;-8.076,44;0;0,02683000
Muster FFPB Pro Dividende;30.12.2024;-0,0024728950;-2.452,92;-0,0105293589;-10.529,36;-0,001716505;0,02678000
Muster FFPB Pro Dividende;31.12.2024;0,0038403334;3.799,90;-0,0067294618;-6.729,46;0,003323751;0,02714000
Muster FFPB Pro Dividende;01.01.2025;-0,0001519576;-150,94;-0,0068803968;-6.880,40;0;0,02714000
Muster FFPB Pro Dividende;02.01.2025;0,0072983664;7.248,15;0,0003677539;367,75;0,008021581;0,02736000
Muster FFPB Pro Dividende;03.01.2025;0,0016852234;1.685,84;0,0020535970;2.053,60;-0,002735380;0,02731000
Muster FFPB Pro Dividende;04.01.2025;0,0000016844;1,69;0,0020552849;2.055,28;0;0,02731000
Muster FFPB Pro Dividende;05.01.2025;0,0000016844;1,69;0,0020569728;2.056,97;0;0,02731000
Muster FFPB Pro Dividende;06.01.2025;-0,0026582322;-2.663,70;-0,0006067273;-606,73;0,003219224;0,02757000
Muster FFPB Pro Dividende;07.01.2025;0,0070424690;7.038,20;0,0064314688;6.431,47;0,004508158;0,02785000
Muster FFPB Pro Dividende;08.01.2025;0,0016268470;1.637,31;0,0080687787;8.068,78;-0,002871017;0,02782000
Muster FFPB Pro Dividende;09.01.2025;0,0020937242;2.110,62;0,0101793967;10.179,40;0,001850776;0,02789000
Muster FFPB Pro Dividende;10.01.2025;-0,0094697656;-9.566,16;0,0006132346;613,23;-0,005814120;0,02766000
Muster FFPB Pro Dividende;11.01.2025;0,0000016868;1,69;0,0006149224;614,92;0;0,02766000
Muster FFPB Pro Dividende;12.01.2025;0,0000016868;1,69;0,0006166103;616,61;0;0,02766000
Muster FFPB Pro Dividende;13.01.2025;0,0014743180;1.475,23;0,0020918374;2.091,84;0,001923264;0,02785000
Muster FFPB Pro Dividende;14.01.2025;0,0033869955;3.394,08;0,0054859179;5.485,92;0,003336338;0,02761000
Muster FFPB Pro Dividende;15.01.2025;0,0080508381;8.095,00;0,0135809222;13.580,92;0,013416868;0,02748000
Muster FFPB Pro Dividende;16.01.2025;0,0062066226;6.290,91;0,0198718365;19.871,84;0,004374954;0,02744000
Muster FFPB Pro Dividende;17.01.2025;0,0073763221;7.522,90;0,0273947396;27.394,74;0,006797536;0,02704000
Muster FFPB Pro Dividende;18.01.2025;0,0000016429;1,69;0,0273964275;27.396,43;0;0,02704000
Muster FFPB Pro Dividende;19.01.2025;0,0000016429;1,69;0,0273981154;27.398,12;0;0,02704000
Muster FFPB Pro Dividende;20.01.2025;-0,0063255258;-6.498,83;0,0208992821;20.899,28;-0,001667459;0,02677000
Muster FFPB Pro Dividende;21.01.2025;0,0021995731;2.245,54;0,0231448247;23.144,82;0,002741876;0,02681000
Muster FFPB Pro Dividende;22.01.2025;0,0010425417;1.066,67;0,0242114958;24.211,50;-0,002642343;0,02671000
Muster FFPB Pro Dividende;23.01.2025;0,0047543618;4.869,47;0,0290809678;29.080,97;0,004944513;0,02673000
Muster FFPB Pro Dividende;24.01.2025;-0,0060066852;-6.181,37;0,0228996024;22.899,60;-0,001855085;0,02641000
Muster FFPB Pro Dividende;25.01.2025;0,0000016501;1,69;0,0229012903;22.901,29;0;0,02641000
Muster FFPB Pro Dividende;26.01.2025;0,0000016501;1,69;0,0229029782;22.902,98;0;0,02641000
Muster FFPB Pro Dividende;27.01.2025;0,0146615588;14.997,35;0,0379003303;37.900,33;0,007212645;0,02641000
Muster FFPB Pro Dividende;28.01.2025;0,0023521158;2.441,26;0,0403415921;40.341,59;0,002849939;0,02615000
Muster FFPB Pro Dividende;29.01.2025;0,0050977107;5.303,36;0,0456449526;45.644,95;0,003724694;0,02612000
Muster FFPB Pro Dividende;30.01.2025;0,0113737801;11.892,94;0,0575378883;57.537,89;0,006738777;0,02606000
Muster FFPB Pro Dividende;31.01.2025;0,0012017577;1.270,90;0,0588087926;58.808,79;-0,001802536;0,02589000
Muster FFPB Pro Dividende;01.02.2025;0,0000015941;1,69;0,0588104805;58.810,48;0;0,02589000
Muster FFPB Pro Dividende;02.02.2025;0,0000015941;1,69;0,0588121683;58.812,17;0;0,02589000
Muster FFPB Pro Dividende;03.02.2025;-0,0020066059;-2.124,62;0,0566875495;56.687,55;-0,009353105;0,02562000
Muster FFPB Pro Dividende;04.02.2025;0,0026542840;2.804,75;0,0594922983;59.492,30;0,003158331;0,02541000
Muster FFPB Pro Dividende;05.02.2025;0,0044094482;4.671,78;0,0641640748;64.164,07;0,001400916;0,02529000
Muster FFPB Pro Dividende;06.02.2025;0,0059994212;6.384,37;0,0705484433;70.548,44;0,007418081;0,02535000
Muster FFPB Pro Dividende;07.02.2025;0,0023548650;2.521,00;0,0730694404;73.069,44;0,001004428;0,02527000
Muster FFPB Pro Dividende;08.02.2025;0,0000013108;1,41;0,0730708469;73.070,85;0;0,02527000
Muster FFPB Pro Dividende;09.02.2025;0,0000013108;1,41;0,0730722535;73.072,25;0;0,02527000
Muster FFPB Pro Dividende;10.02.2025;0,0041004643;4.400,09;0,0774723480;77.472,35;0,003123345;0,02526000
Muster FFPB Pro Dividende;11.02.2025;0,0066868203;7.204,86;0,0846772119;84.677,21;0,001223596;0,02539000
Muster FFPB Pro Dividende;12.02.2025;-0,0024587371;-2.666,94;0,0820102758;82.010,28;0,001785845;0,02553000
Muster FFPB Pro Dividende;13.02.2025;0,0066993501;7.248,77;0,0892590414;89.259,04;0,004103162;0,02556000
Muster FFPB Pro Dividende;14.02.2025;-0,0079790045;-8.691,20;0,0805678387;80.567,84;-0,000892760;0,02522000
Muster FFPB Pro Dividende;15.02.2025;0,0000013017;1,41;0,0805692452;80.569,25;0;0,02522000
Muster FFPB Pro Dividende;16.02.2025;0,0000013017;1,41;0,0805706518;80.570,65;0;0,02522000
Muster FFPB Pro Dividende;17.02.2025;0,0065976763;7.129,26;0,0876999071;87.699,91;0,003866109;0,02510000
Muster FFPB Pro Dividende;18.02.2025;0,0077926123;8.476,02;0,0961759308;96.175,93;0,008032459;0,02516000
Muster FFPB Pro Dividende;19.02.2025;-0,0043314985;-4.748,08;0,0914278465;91.427,85;-0,003379624;0,02529000
Muster FFPB Pro Dividende;20.02.2025;-0,0048174590;-5.257,91;0,0861699376;86.169,94;-0,004469303;0,02534000
Muster FFPB Pro Dividende;21.02.2025;0,0052320011;5.682,84;0,0918527799;91.852,78;0,003850983;0,02521000
Muster FFPB Pro Dividende;22.02.2025;0,0000012882;1,41;0,0918541864;91.854,19;0;0,02521000
Muster FFPB Pro Dividende;23.02.2025;0,0000012882;1,41;0,0918555930;91.855,59;0;0,02521000
Muster FFPB Pro Dividende;24.02.2025;0,0021124281;2.306,47;0,0941620594;94.162,06;0,002514890;0,02521000
Muster FFPB Pro Dividende;25.02.2025;0,0048603305;5.317,99;0,0994800487;99.480,05;0,004706909;0,02530000
Muster FFPB Pro Dividende;26.02.2025;0,0067220462;7.390,76;0,1068708044;106.870,80;0,009812089;0,02499000
Muster FFPB Pro Dividende;27.02.2025;0,0020706337;2.291,92;0,1091627283;109.162,73;-0,000625214;0,02485000
Muster FFPB Pro Dividende;28.02.2025;0,0061283747;6.797,36;0,1159600931;115.960,09;0,001202106;0,02464000
Muster FFPB Pro Dividende;01.03.2025;0,0000012604;1,41;0,1159614997;115.961,50;0;0,02464000
Muster FFPB Pro Dividende;02.03.2025;0,0000012604;1,41;0,1159629062;115.962,91;0;0,02464000
Muster FFPB Pro Dividende;03.03.2025;0,0055381113;6.180,33;0,1221432330;122.143,23;0,001863570;0,02464000
Muster FFPB Pro Dividende;04.03.2025;-0,0238084360;-26.716,48;0,0954267576;95.426,76;-0,019536989;0,02491000
Muster FFPB Pro Dividende;05.03.2025;0,0017493179;1.916,25;0,0973430072;97.343,01;0,006526568;0,02504000
Muster FFPB Pro Dividende;06.03.2025;0,0016276944;1.786,14;0,0991291464;99.129,15;0,011088067;0,02511000
Muster FFPB Pro Dividende;07.03.2025;0,0064558299;7.095,79;0,1062249371;106.224,94;0,000177813;0,02529000
Muster FFPB Pro Dividende;08.03.2025;0,0000012715;1,41;0,1062263437;106.226,34;0;0,02529000
Muster FFPB Pro Dividende;09.03.2025;0,0000012715;1,41;0,1062277503;106.227,75;0;0,02529000
Muster FFPB Pro Dividende;10.03.2025;-0,0063720067;-7.048,89;0,0991788596;99.178,86;-0,004950050;0,02547000
Muster FFPB Pro Dividende;11.03.2025;-0,0212831495;-23.393,99;0,0757848716;75.784,87;-0,013073746;0,02553000
Muster FFPB Pro Dividende;12.03.2025;0,0045394246;4.883,44;0,0806683159;80.668,32;0,003969531;0,02527000
Muster FFPB Pro Dividende;13.03.2025;0,0013943694;1.506,85;0,0821751667;82.175,17;-0,001859171;0,02501000
Muster FFPB Pro Dividende;14.03.2025;0,0064488810;6.978,82;0,0891539856;89.153,99;0,008084648;0,02478000
Muster FFPB Pro Dividende;15.03.2025;0,0000012914;1,41;0,0891553922;89.155,39;0;0,02478000
Muster FFPB Pro Dividende;16.03.2025;0,0000012914;1,41;0,0891567988;89.156,80;0;0,02478000
Muster FFPB Pro Dividende;17.03.2025;0,0079363595;8.643,94;0,0978007387;97.800,74;0,008280772;0,02456000
Muster FFPB Pro Dividende;18.03.2025;0,0023200143;2.546,91;0,1003476521;100.347,65;0,007202309;0,02426000
Muster FFPB Pro Dividende;19.03.2025;0,0044282065;4.872,57;0,1052202188;105.220,22;0,003123457;0,02411000
Muster FFPB Pro Dividende;20.03.2025;-0,0034662386;-3.830,96;0,1013892618;101.389,26;-0,003267067;0,02387000
Muster FFPB Pro Dividende;21.03.2025;-0,0023568347;-2.595,79;0,0987934694;98.793,47;-0,001539148;0,02386000
Muster FFPB Pro Dividende;22.03.2025;0,0000012801;1,41;0,0987948760;98.794,88;0;0,02386000
Muster FFPB Pro Dividende;23.03.2025;0,0000012801;1,41;0,0987962825;98.796,28;0;0,02386000
Muster FFPB Pro Dividende;24.03.2025;0,0009002414;989,18;0,0997854644;99.785,46;0,000938952;0,02367000
Muster FFPB Pro Dividende;25.03.2025;0,0056617719;6.226,73;0,1060121988;106.012,20;0,006238753;0,02365000
Muster FFPB Pro Dividende;26.03.2025;0,0035493030;3.925,57;0,1099377712;109.937,77;0,002054985;0,02369000
Muster FFPB Pro Dividende;27.03.2025;-0,0023271040;-2.582,94;0,1073548305;107.354,83;-0,004499941;0,02355000
Muster FFPB Pro Dividende;28.03.2025;-0,0055457967;-6.141,16;0,1012136658;101.213,67;-0,007814921;0,02328000
Muster FFPB Pro Dividende;29.03.2025;0,0000012562;1,38;0,1012150492;101.215,05;0;0,02328000
Muster FFPB Pro Dividende;30.03.2025;0,0000012562;1,38;0,1012164326;101.216,43;0;0,02328000
Muster FFPB Pro Dividende;31.03.2025;-0,0030298907;-3.336,57;0,0978798671;97.879,87;-0,007737874;0,02336000
Muster FFPB Pro Dividende;01.04.2025;0,0032477406;3.565,63;0,1014454961;101.445,50;0,006931575;0,02324000
Muster FFPB Pro Dividende;02.04.2025;-0,0022072529;-2.431,17;0,0990143274;99.014,33;-0,002371506;0,02356000
Muster FFPB Pro Dividende;03.04.2025;-0,0251291439;-27.617,29;0,0713970382;71.397,04;-0,027795221;0,02349000
Muster FFPB Pro Dividende;04.04.2025;-0,0590270339;-63.241,39;0,0081556490;8.155,65;-0,045613017;0,02323000
Muster FFPB Pro Dividende;05.04.2025;0,0000012350;1,25;0,0081568940;8.156,89;0;0,02323000
Muster FFPB Pro Dividende;06.04.2025;0,0000012350;1,25;0,0081581390;8.158,14;0;0,02323000
Muster FFPB Pro Dividende;07.04.2025;-0,0303489142;-30.596,50;-0,0224383658;-22.438,37;-0,038114117;0,02362000
Muster FFPB Pro Dividende;08.04.2025;0,0109796567;10.733,29;-0,0117050747;-11.705,07;0,009468533;0,02293000
Muster FFPB Pro Dividende;09.04.2025;-0,0045811790;-4.527,56;-0,0162326307;-16.232,63;-0,005334904;0,02301000
Muster FFPB Pro Dividende;10.04.2025;0,0076226838;7.498,95;-0,0087336832;-8.733,68;0,013618391;0,02265000
Muster FFPB Pro Dividende;11.04.2025;-0,0029752394;-2.949,25;-0,0116829378;-11.682,94;0,001113851;0,02279000
Muster FFPB Pro Dividende;12.04.2025;0,0000012598;1,25;-0,0116816927;-11.681,69;0;0,02279000
Muster FFPB Pro Dividende;13.04.2025;0,0000012598;1,25;-0,0116804477;-11.680,45;0;0,02279000
Muster FFPB Pro Dividende;14.04.2025;0,0217041828;21.450,67;0,0097702205;9.770,22;0,021564330;0,02252000
Muster FFPB Pro Dividende;15.04.2025;0,0117900123;11.905,20;0,0216754238;21.675,42;0,013873860;0,02263000
Muster FFPB Pro Dividende;16.04.2025;-0,0025666209;-2.622,25;0,0190531704;19.053,17;-0,003750655;0,02236000
Muster FFPB Pro Dividende;17.04.2025;0,0057157605;5.824,66;0,0248778343;24.877,83;0,003920090;0,02183000
Muster FFPB Pro Dividende;18.04.2025;-0,0006363721;-652,20;0,0242256306;24.225,63;0;0,02183000
Muster FFPB Pro Dividende;19.04.2025;0,0000012156;1,25;0,0242268756;24.226,88;0;0,02183000
Muster FFPB Pro Dividende;20.04.2025;0,0000012156;1,25;0,0242281207;24.228,12;0;0,02183000
Muster FFPB Pro Dividende;21.04.2025;-0,0081322462;-8.329,28;0,0158988454;15.898,85;-0,007018400;0,02183000
Muster FFPB Pro Dividende;22.04.2025;0,0138387621;14.058,78;0,0299576279;29.957,63;0,016273665;0,02191000
Muster FFPB Pro Dividende;23.04.2025;0,0135006711;13.905,12;0,0438627471;43.862,75;0,014599844;0,02158000
Muster FFPB Pro Dividende;24.04.2025;-0,0029605585;-3.090,42;0,0407723304;40.772,33;0,001522962;0,02161000
Muster FFPB Pro Dividende;25.04.2025;0,0061066668;6.355,65;0,0471279803;47.127,98;0,004635105;0,02174000
Muster FFPB Pro Dividende;26.04.2025;0,0000011890;1,25;0,0471292253;47.129,23;0;0,02174000
Muster FFPB Pro Dividende;27.04.2025;0,0000011890;1,25;0,0471304704;47.130,47;0;0,02174000
Muster FFPB Pro Dividende;28.04.2025;0,0046551589;4.874,56;0,0520050291;52.005,03;0,003863797;0,02186000
Muster FFPB Pro Dividende;29.04.2025;0,0049424071;5.199,44;0,0572044662;57.204,47;0,007054588;0,02176000
Muster FFPB Pro Dividende;30.04.2025;0,0066545816;7.035,25;0,0642397196;64.239,72;0,002746011;0,02156000
Muster FFPB Pro Dividende;01.05.2025;-0,0037239492;-3.963,17;0,0602765450;60.276,54;-0,001484519;0,02156000
Muster FFPB Pro Dividende;02.05.2025;0,0109669217;11.627,97;0,0719045148;71.904,51;0,012589249;0,02142000
Muster FFPB Pro Dividende;03.05.2025;0,0000010325;1,11;0,0719056215;71.905,62;0;0,02142000
Muster FFPB Pro Dividende;04.05.2025;0,0000010325;1,11;0,0719067282;71.906,73;0;0,02142000
Muster FFPB Pro Dividende;05.05.2025;0,0049413207;5.296,63;0,0772033631;77.203,36;0,001081570;0,02151000
Muster FFPB Pro Dividende;06.05.2025;-0,0043626204;-4.699,43;0,0725039337;72.503,93;-0,002369986;0,02143000
Muster FFPB Pro Dividende;07.05.2025;0,0045787598;4.910,74;0,0774146716;77.414,67;0,004858488;0,02150000
Muster FFPB Pro Dividende;08.05.2025;-0,0030509288;-3.287,12;0,0741275561;74.127,56;0,003877050;0,02138000
Muster FFPB Pro Dividende;09.05.2025;0,0006271228;673,61;0,0748011660;74.801,17;0,004328094;0,02124000
Muster FFPB Pro Dividende;10.05.2025;0,0000010297;1,11;0,0748022727;74.802,27;0;0,02124000
Muster FFPB Pro Dividende;11.05.2025;0,0000010297;1,11;0,0748033794;74.803,38;0;0,02124000
Muster FFPB Pro Dividende;12.05.2025;0,0077662364;8.347,18;0,0831505565;83.150,56;0,014169156;0,02139000
Muster FFPB Pro Dividende;13.05.2025;-0,0080777968;-8.749,47;0,0744010864;74.401,09;-0,002646890;0,02143000
Muster FFPB Pro Dividende;14.05.2025;-0,0015656119;-1.682,10;0,0727189912;72.718,99;0,004462221;0,02142000
Muster FFPB Pro Dividende;15.05.2025;0,0130263548;13.973,62;0,0866926094;86.692,61;0,005672006;0,02127000
Muster FFPB Pro Dividende;16.05.2025;0,0056433163;6.132,55;0,0928251595;92.825,16;0,004709908;0,02101000
Muster FFPB Pro Dividende;17.05.2025;0,0000010127;1,11;0,0928262662;92.826,27;0;0,02101000
Muster FFPB Pro Dividende;18.05.2025;0,0000010127;1,11;0,0928273729;92.827,37;0;0,02101000
Muster FFPB Pro Dividende;19.05.2025;-0,0019612177;-2.143,27;0,0906841005;90.684,10;0,000790449;0,02075000
Muster FFPB Pro Dividende;20.05.2025;0,0043779719;4.774,98;0,0954590848;95.459,08;0,005402638;0,02060000
Muster FFPB Pro Dividende;21.05.2025;-0,0072785063;-7.973,31;0,0874857790;87.485,78;-0,003286989;0,02046000
Muster FFPB Pro Dividende;22.05.2025;-0,0024586969;-2.673,80;0,0848119811;84.811,98;-0,002082366;0,02049000
